YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1996,12,31,-8.32,-9.92,-9.13,-5.04,4.91,-5.02,-9.95
1997,1,1,-10.31,-11.1,-10.7,-6.77,3.86,-8.06,-11.92
1997,1,2,-10.47,-11.19,-10.83,-7.11,4.88,-7.45,-12.34
1997,1,3,-8.33,-9.31,-8.81,-5.16,5.07,-6.05,-11.13
1997,1,4,-4.85,-6.54,-5.7,-2.74,2.15,-3.77,-5.92
1997,1,5,-5.13,-6.23,-5.67,-3.54,4.62,-2.84,-7.46
1997,1,6,-7.12,-8.06,-7.6,-4.92,2.99,-5.08,-8.07
1997,1,7,-6.67,-7.42,-7.05,-4.58,3.86,-4.33,-8.19
1997,1,8,-6.7,-7.52,-7.12,-4.42,3.55,-4.74,-8.27
1997,1,9,-5.63,-6.85,-6.24,-3.49,1.88,-4.27,-6.15
1997,1,10,-4.47,-6.27,-5.37,-3.01,3.11,-2.72,-5.84
1997,1,11,-3.92,-5.6,-4.76,-2.58,2.66,-2.6,-5.26
1997,1,12,0.08,-0.94,-0.42,0.29,5.59,2.19,-3.4
1997,1,13,1.68,0.11,0.9,1.23,3.34,3.41,0.08
1997,1,14,-0.13,-2.63,-1.38,-0.41,5.89,3.19,-2.71
1997,1,15,-1.83,-2.75,-2.29,-1.79,6.34,1.98,-4.38
